Date,Time,Trade Id,Ask,Bid,Price,Size,Volume
10/3/2017,5:23:29,11501996,298.29,298.26,298.28,0.01,57638.32969
10/3/2017,5:23:30,11501999,298.23,298.22,298.24,0.01,57638.32969
10/3/2017,5:23:35,11502018,298.06,298.05,298.05,2.82491175,57638.32969
10/3/2017,5:23:36,11502098,298.05,297.87,297.5,10.39195352,57638.32969
10/3/2017,5:23:38,11502100,297.55,297.5,297.52,0.01,57638.32969
10/3/2017,5:23:38,11502101,297.51,297.5,297.5,8.18231327,57638.32969
10/3/2017,5:23:52,11502102,297.51,297.5,297.51,0.3957,57638.32969
10/3/2017,5:23:59,11502104,297.51,297.5,297.5,0.252297,57702.10481
10/3/2017,5:24:02,11502105,297.51,297.5,297.51,0.00003351,57702.10481
10/3/2017,5:24:11,11502106,297.51,297.5,297.5,1.79809106,57702.10481
10/3/2017,5:24:23,11502107,297.51,297.5,297.51,0.5021,57702.10481
10/3/2017,5:24:55,11502108,297.51,297.5,297.5,3.3494,57866.09959
10/3/2017,5:25:02,11502109,297.51,297.5,297.51,0.00003351,57866.09959
10/3/2017,5:25:11,11502176,297.07,297.06,297.08,0.01,57866.09959
10/3/2017,5:25:13,11502226,296.75,296.74,296.75,0.5,57866.09959
10/3/2017,5:25:14,11502232,296.72,296.71,296.72,0.01,57866.09959
10/3/2017,5:25:16,11502250,296.59,296.58,296.59,0.1028,57866.09959
10/3/2017,5:25:16,11502253,296.58,296.57,296.58,7.886167,57866.09959
10/3/2017,5:25:18,11502260,296.57,296.56,296.57,0.838784,57866.09959
10/3/2017,5:25:19,11502262,296.57,296.56,296.57,0.1028,57866.09959
10/3/2017,5:25:22,11502267,296.57,296.56,296.57,1.599429,57866.09959
10/3/2017,5:25:23,11502270,296.57,296.56,296.57,0.0122,57866.09959
10/3/2017,5:25:26,11502272,296.57,296.56,296.57,4.13843,57866.09959
10/3/2017,5:25:27,11502273,296.57,296.56,296.57,3.82801422,57866.09959
10/3/2017,5:25:27,11502274,296.57,296.56,296.57,0.00006723,57866.09959
10/3/2017,5:25:45,11502275,296.57,296.56,296.56,5.01883837,58063.56063
10/3/2017,5:25:57,11502276,296.57,296.56,296.56,2.3556,58063.56063
10/3/2017,5:25:58,11502277,296.57,296.56,296.56,3,58063.56063
10/3/2017,5:26:02,11502278,296.57,296.56,296.57,0.00003361,58063.56063
10/3/2017,5:26:10,11502279,296.57,296.56,296.57,2.01428959,58063.56063
10/3/2017,5:26:12,11502286,296.57,296.56,296.57,1.02435736,58063.56063
10/3/2017,5:26:20,11502292,296.56,296.55,296.56,3.04126916,58063.56063
10/3/2017,5:26:29,11502294,296.56,296.55,296.56,0.2932,58063.56063
10/3/2017,5:26:34,11502299,296.55,296.54,296.55,6.12,58094.61868
10/3/2017,5:26:57,11502319,296.46,296.45,296.45,1.31621569,58094.61868
10/3/2017,5:27:02,11502321,296.46,296.45,296.46,0.00003363,58094.61868
10/3/2017,5:27:08,11502322,296.46,296.45,296.45,3,58094.61868
10/3/2017,5:27:33,11502323,296.46,296.45,296.45,13.1902,58128.82809
10/3/2017,5:27:34,11502324,296.46,296.45,296.46,1.00891416,58128.82809
10/3/2017,5:27:59,11502325,296.46,296.45,296.46,4.91004891,58128.82809
10/3/2017,5:28:02,11502326,296.46,296.45,296.46,0.00003363,58128.82809
10/3/2017,5:28:04,11502327,296.46,296.45,296.45,15.2846,58128.82809
10/3/2017,5:28:17,11502328,296.46,296.45,296.46,0.16815236,58189.24261
10/3/2017,5:28:29,11502329,296.46,296.45,296.46,0.0042038,58189.24261
